timestamp,product_id,brand,title,price,original_price,rating,review_count,stock_status
2025-05-26 22:46:38,100000000,Dyson,Dyson Bagless Upright Vacuum,473.21,535.73,3.1,1260,In Stock
2025-06-01 22:46:38,100000001,Shark,Shark Handheld Vacuum,482.1,486.04,4.0,356,In Stock
2025-05-28 22:46:38,100000002,Bissell,Bissell Stick Vacuum,360.7,457.57,2.2,501,Out of Stock
2025-06-07 22:46:38,100000003,Dyson,Dyson Bagless Upright Vacuum,470.63,506.13,3.9,454,Out of Stock
2025-05-21 22:46:38,100000004,Bissell,Bissell Handheld Vacuum,216.32,229.56,2.6,761,In Stock
2025-06-15 22:46:38,100000005,Hoover,Hoover Handheld Vacuum,333.96,403.63,3.5,1799,Out of Stock
2025-05-25 22:46:38,100000006,Dyson,Dyson Cordless Vacuum Cleaner,456.86,513.32,3.5,189,In Stock
2025-06-03 22:46:38,100000007,Dyson,Dyson Handheld Vacuum,469.14,565.74,2.8,1669,In Stock
2025-05-23 22:46:38,100000008,Dyson,Dyson Handheld Vacuum,309.56,405.0,4.4,4,In Stock
2025-05-23 22:46:38,100000009,Bissell,Bissell Cordless Vacuum Cleaner,304.65,370.63,4.9,794,Out of Stock
2025-05-31 22:46:38,100000010,Eureka,Eureka Stick Vacuum,368.42,452.28,3.8,1115,In Stock
2025-06-09 22:46:38,100000011,Hoover,Hoover Robot Vacuum Cleaner,243.0,269.3,3.7,1582,In Stock
2025-06-09 22:46:38,100000012,Shark,Shark Bagless Upright Vacuum,290.0,374.45,2.1,1560,Out of Stock
2025-06-11 22:46:38,100000013,Dyson,Dyson Handheld Vacuum,224.38,319.23,4.3,594,Out of Stock
2025-05-22 22:46:38,100000014,Bissell,Bissell Bagless Upright Vacuum,397.6,456.66,4.5,1629,Out of Stock
2025-05-28 22:46:38,100000015,Eureka,Eureka Robot Vacuum Cleaner,274.27,354.98,4.2,1919,Out of Stock
2025-06-07 22:46:38,100000016,Hoover,Hoover Stick Vacuum,410.81,456.19,4.7,957,In Stock
2025-06-03 22:46:38,100000017,Eureka,Eureka Robot Vacuum Cleaner,226.33,307.77,5.0,1498,Out of Stock
2025-05-31 22:46:38,100000018,Dyson,Dyson Robot Vacuum Cleaner,97.5,189.78,4.9,1036,In Stock
2025-05-28 22:46:38,100000019,Eureka,Eureka Bagless Upright Vacuum,396.8,453.45,2.3,207,Out of Stock
